rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
160,87,87,,no,no,Jaime Faria,22,POR,POR,375,-13,-50,Rio de Janeiro R16 (R32 ),Lost in Qual. Rio de Janeiro R2 Lost in Qual. Rio de Janeiro R2 Rio de Janeiro R16 (R32 )425 825,,yes
161,159,159,,no,no,Luka Mikrut,21,CRO,CRO,371,,+4,,,,no
162,159,159,,no,no,Rei Sakamoto,19,JPN,JPN,370,+6,+6,New Delhi R16 376 439,,,yes
163,60,60,,no,no,Stefano Travaglia,34,ITA,ITA,370,,+3,,,,no
164,49,49,,no,no,Roberto Carballés Baena,32,ESP,ESP,368,+11,+18,**Qual. Doha W**,Lost in Doha R32,,yes
165,64,64,,no,no,Hugo Dellien,32,BOL,BOL,368,-7,-25,,Lost in Qual. Rio de Janeiro R1,,no
166,99,99,,no,no,Brandon Holt,27,USA,USA,368,-15,-50,,,,no
167,125,125,,no,no,Matteo Gigante,24,ITA,ITA,367,,,,,,no
168,139,139,,no,no,Ugo Blanchet,27,FRA,FRA,361,-4,-14,,Lost in Lille R32,,no
169,24,24,,no,no,Yoshihito Nishioka,30,JPN,JPN,361,,,,Lost in Qual. Delray Beach R1,,no
170,6,6,,no,no,Gaël Monfils,39,FRA,FRA,360,,,,,,no
171,167,167,,no,no,Daniil Glinka,25,EST,EST,359,,,,Lost in Lille R32,,no
172,149,149,,no,no,Henrique Rocha,21,POR,POR,357,,,,,,no
173,117,117,,no,no,Leandro Riedi,24,SUI,SUI,356,,,,Lost in Lille R32,,no
174,152,152,,no,no,Arthur Fery,23,GBR,GBR,355,-17,-41,,,,no
175,72,72,,no,no,Yosuke Watanuki,27,JPN,JPN,349,,+2,,,,no
176,87,87,,no,no,Jurij Rodionov,26,AUT,AUT,349,,-1,,,,no
177,103,103,,no,no,Harold Mayot,24,FRA,FRA,347,-3,-8,,,,no
178,106,106,,no,no,Zsombor Piros,26,HUN,HUN,341,,,,,,no
179,168,168,,no,no,Nicolás Mejía,26,COL,COL,341,,,,Lost in Qual. Delray Beach R1,,no
180,36,36,,no,no,Pierre Hugues Herbert,34,FRA,FRA,338,+10,+25,**Qual. Doha W**,Lost in Doha R32,,yes
181,125,125,,no,no,Juan Pablo Ficovich,29,ARG,ARG,337,+2,+6,Metepec R16 343 406,,,yes
182,170,170,,no,no,Alex Barrena,23,ARG,ARG,336,,-2,,,,no
183,156,156,,no,no,Vitaliy Sachko,28,UKR,UKR,333,,-2,,Lost in Lille R32,,no
184,99,99,,no,no,Nishesh Basavareddy,20,USA,USA,331,+8,+21,Lille QF**Qual. Lille W****Qual. Lille W** Lille QF 350 440,,,yes
185,133,133,,no,no,Federico Agustin Gomez,29,ARG,ARG,331,,-3,,Lost in New Delhi R32,,no
186,56,56,,no,no,Daniel Elahi Galán,29,COL,COL,330,,-2,,Lost in Qual. Rio de Janeiro R1,,no
187,153,153,,no,no,Jay Clarke,27,GBR,GBR,329,,-2,New Delhi R16 335 398,,,yes
188,36,36,,no,no,Roman Safiullin,28,RUS,RUS,328,,-2,,Lost in Lille R32,,no
189,105,105,,no,no,Elias Ymer,29,SWE,SWE,328,-1,+13,,Lost in Qual. Doha R2,,no
190,17,17,,no,no,Bernard Tomic,33,AUS,AUS,323,-3,+4,Metepec QF 333 386,,,yes
191,123,123,,no,no,Timofey Skatov,25,KAZ,KAZ,316,+4,+8,,Lost in Lille R16,,no
192,123,123,,no,no,Jérôme Kym,23,SUI,SUI,315,+5,+8,Lille R16 323 432,,,yes
193,180,180,,no,no,Justin Engel,18,GER,GER,315,+1,+6,Lille R16 323 432,,,yes
194,131,131,,no,no,Pablo Llamas Ruiz,23,ESP,ESP,314,,-5,,,,no
195,191,191,,no,no,Clément Tabur,26,FRA,FRA,311,,-4,,,,no
196,95,95,,no,no,Hugo Grenier,29,FRA,FRA,310,,-3,,,,no
197,111,111,,no,no,Zdeněk Kolář,29,CZE,CZE,308,,-1,,,,no
198,184,184,,no,no,Clément Chidekh,24,FRA,FRA,307,+7,+15,Lille QF 326 416,,,yes
199,144,144,,no,no,August Holmgren,27,DEN,DEN,303,,,,Lost in Lille R32,,no
200,38,38,,no,no,Alex Molčan,28,SVK,SVK,302,,,Advertisement,,,yes
201,21,21,,no,no,Daniel Evans,35,GBR,GBR,300,-3,-6,,,,no
202,194,194,,no,no,Dan Added,26,FRA,FRA,299,,-1,,,,no
203,175,175,,no,no,Álvaro Guillén Meza,23,ECU,ECU,298,,-1,Tigre 1 R16 300 342,,,yes
204,63,63,,no,no,Jason Kubler,32,AUS,AUS,295,,-1,,,,no
205,127,127,,no,no,Lorenzo Giustino,34,ITA,ITA,292,,+1,,,,no
206,187,187,,no,no,João Lucas Reis Da Silva,25,BRA,BRA,291,,+1,,Lost in Rio de Janeiro R32,,no
207,184,184,,no,no,Luka Pavlovic,25,FRA,FRA,286,,+2,,,,no
208,200,200,,no,no,George Loffhagen,24,GBR,GBR,281,-4,-14,,,,no
209,201,201,,no,no,Gilles Arnaud Bailly,20,BEL,BEL,280,,+2,,,,no
