rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
537,NCH (542),537,542,yes,yes,Joaquin Aguilar Cardozo,20,URU,URU,74,,+5,,,,no
538,371,371,,no,no,Georgii Kravchenko,25,UKR,UKR,74,+14,+3,,Lost in Vale Do Lobo QF Lost in Faro R16,,no
539,296,296,,no,no,Oleksandr Ovcharenko,24,UKR,UKR,74,,+5,,Lost in Qual. Hersonissos 1 R1,,no
540,458,458,,no,no,Maxwell Mckennon,23,USA,USA,74,+6,+1,,Lost in Vale Do Lobo R32 Lost in Faro R16,,no
541,229,229,,no,no,Mukund Sasikumar,29,IND,IND,73,-6,-2,,,,no
542,256,256,,no,no,Johan Nikles,28,SUI,SUI,73,+17,+3,,Lost in Faro QF,,no
543,535,535,,no,no,Ivan Marrero Curbelo,27,ESP,ESP,72,-3,-2,,Lost in Qual. Kigali 1 R2,,no
544,NCH (548),544,548,yes,yes,Lucio Ratti,22,ARG,ARG,72,,+4,,Lost in Yerba Buena R16,,no
545,519,519,,no,no,Amr Elsayed,27,EGY,EGY,72,,+4,,Lost in Sharm El Sheikh 5 R16 Lost in Sharm El Sheikh 6 R32,,no
546,410,410,,no,no,Stefan Popović,22,SRB,SRB,72,+9,+1,,Lost in Antalya 8 QF,,no
547,536,536,,no,no,Joshua Sheehy,29,USA,USA,71,-9,-3,,,,no
548,NCH (550),548,550,yes,yes,Jacopo Vasami,18,ITA,ITA,71,,+2,,Lost in Hersonissos 1 R32,,no
549,477,477,,no,no,Peter Fajta,23,HUN,HUN,71,,+2,,,,no
550,471,471,,no,no,Yuki Mochizuki,28,JPN,JPN,71,-36,-9,,Lost in Maanshan R16,,no
551,496,496,,no,no,Niels Visker,24,NED,NED,71,,+3,,,,no
552,424,424,,no,no,Kokoro Isomura,23,JPN,JPN,71,,+1,,,,no
553,273,273,,no,no,Elmar Ejupovic,33,GER,GER,70,,+4,,,,no
554,545,545,,no,no,Filip Jeff Planinšek,24,SLO,SLO,70,+26,+4,Monastir 12 SF 74 81,,,yes
555,552,552,,no,no,Igor Gimenez,26,BRA,BRA,70,,+6,,,,no
