rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
239,153,153,,no,no,Séléna Janicijevic,23,FRA,FRA,287,+10,+2,,Lost in Heraklion R16,,no
240,233,233,,no,no,Julie Belgraver,23,FRA,FRA,287,+2,-7,,Lost in Helsinki R32,,no
241,212,212,,no,no,Matilde Jorge,21,POR,POR,287,-2,-8,,,,no
242,207,207,,no,no,Irene Burillo,28,ESP,ESP,283,+10,+4,,Lost in Heraklion QF,,no
243,152,152,,no,no,Raluca Șerban,28,CYP,CYP,282,+5,-3,,,,no
244,125,125,,no,no,Xinyu Gao,28,CHN,CHN,282,+20,+19,Helsinki SF,,295,yes
245,172,172,,no,no,Carson Branstine,25,CAN,CAN,280,,-7,,,,no
246,196,196,,no,no,Justina Mikulskytė,30,LTU,LTU,280,,-6,,,,no
247,230,230,,no,no,Mingge Xu,18,GBR,GBR,279,-3,-10,,,,no
248,153,153,,no,no,Kathinka von Deichmann,31,LIE,LIE,278,-19,-28,,,,no
249,205,205,,no,no,Jessica Pieri,28,ITA,ITA,278,+1,-7,,,,no
250,221,221,,no,no,Eva Guerrero Álvarez,26,ESP,ESP,278,+3,-1,Monastir 10 SF,,287,yes
251,246,246,,no,no,Kajsa Rinaldo Persson,28,SWE,SWE,278,,+3,,Lost in Heraklion R16,,no
252,151,151,,no,no,Anastasia Tikhonova,25,RUS,RUS,276,,+4,,Lost in Trnava 2 R32,,no
253,209,209,,no,no,Eva Vedder,26,NED,NED,274,,+4,,,,no
254,119,119,,no,no,Lizette Cabrera,28,AUS,AUS,272,+19,+20,Launceston F,Burnie W,284,yes
255,214,214,,no,no,Angela Fita Boluda,26,ESP,ESP,270,+14,+10,Heraklion SF,,279,yes
256,203,203,,no,no,Hina Inoue,22,USA,USA,269,-5,-10,,,,no
257,165,165,,no,no,Carolina Alves,29,BRA,BRA,269,-24,-33,,,,no
258,38,38,,no,no,Rebecca Marino,35,CAN,CAN,268,+2,-2,,,,no
259,1,1,,no,no,Karolína Plíšková,33,CZE,CZE,267,,+2,,,,no
260,38,38,,no,no,Heather Watson,33,GBR,GBR,266,+3,+1,,Lost in Trnava 2 R32,,no
261,45,45,,no,no,Nuria Párrizas Díaz,34,ESP,ESP,261,+6,-1,,,,no
262,NCH,262,265,yes,yes,Fangran Tian,22,CHN,CHN,260,+3,-3,,,,no
263,118,118,,no,no,Katie Swan,26,GBR,GBR,260,,+5,,,,no
